sample,file,treatment,replicate,species,type
PAU616A14,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A14_S42_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A15,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A15_S43_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A15,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A15_S43_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A15,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A15_S43_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A16,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A16_S44_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A16,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A16_S44_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A16,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A16_S44_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A17,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A17_S45_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A17,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A17_S45_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A17,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A17_S45_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A18,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A18_S46_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A18,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A18_S46_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A18,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A18_S46_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A19,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A19_S47_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A19,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A19_S47_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A19,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A19_S47_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A2,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A2_S48_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A2,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A2_S48_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A2,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A2_S48_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A20,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A20_S49_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A20,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A20_S49_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A20,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A20_S49_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A21,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A21_S50_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A21,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A21_S50_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A21,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A21_S50_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A22,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A22_S51_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A22,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A22_S51_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A22,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A22_S51_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A23,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A23_S52_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A23,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A23_S52_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A23,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A23_S52_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A24,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A24_S53_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A24,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A24_S53_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A24,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A24_S53_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A25,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A25_S54_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A25,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A25_S54_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A25,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A25_S54_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A26,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A26_S55_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A26,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A26_S55_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A26,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A26_S55_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A27,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A27_S56_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A27,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A27_S56_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A27,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A27_S56_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A28,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A28_S57_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A28,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A28_S57_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A28,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A28_S57_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A29,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A29_S58_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A29,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A29_S58_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A29,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A29_S58_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A3,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A3_S59_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A3,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A3_S59_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A3,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A3_S59_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A30,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A30_S60_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A30,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A30_S60_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A30,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A30_S60_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A31,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A31_S61_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A31,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A31_S61_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A31,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A31_S61_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A32,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A32_S62_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A32,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A32_S62_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A32,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A32_S62_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A4,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A4_S63_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A4,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A4_S63_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A4,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A4_S63_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A5,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A5_S64_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A5,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A5_S64_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A5,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A5_S64_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A6,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A6_S65_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A6,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A6_S65_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A6,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A6_S65_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A7,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A7_S66_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A7,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A7_S66_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A7,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A7_S66_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A8,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A8_S67_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A8,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A8_S67_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A8,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A8_S67_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A9,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A9_S68_L004_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A9,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A9_S68_L005_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
PAU616A9,/camp/stp/sequencing/inputs/instruments/fastq/200128_K00102_0451_BHGHN3BBXY/fastq/RN19275/PAU616A9_S68_L006_R1_001.fastq.gz,,,Homo sapiens,RNA-Seq
